COMPE,ShortName
1,BCO DO BRASIL S.A.
3,BCO DA AMAZONIA S.A.
4,BCO DO NORDESTE DO BRASIL S.A.
7,BNDES
10,CREDICOAMO
11,C.SUISSE HEDGING-GRIFFO CV S/A
12,BANCO INBURSA
14,STATE STREET BR S.A. BCO COMERCIAL
15,UBS BRASIL CCTVM S.A.
16,CCM DESP TRÂNS SC E RS
17,BNY MELLON BCO S.A.
18,BCO TRICURY S.A.
21,BCO BANESTES S.A.
24,BCO BANDEPE S.A.
25,BCO ALFA S.A.
29,BANCO ITAÚ CONSIGNADO S.A.
33,BCO SANTANDER (BRASIL) S.A.
36,BCO BBI S.A.
37,BCO DO EST. DO PA S.A.
40,BCO CARGILL S.A.
41,BCO DO ESTADO DO RS S.A.
47,BCO DO EST. DE SE S.A.
60,CONFIDENCE CC S.A.
62,HIPERCARD BM S.A.
63,BANCO BRADESCARD
64,GOLDMAN SACHS DO BRASIL BM S.A
65,BCO ANDBANK S.A.
66,BCO MORGAN STANLEY S.A.
69,BCO CREFISA S.A.
70,BRB - BCO DE BRASILIA S.A.
74,BCO. J.SAFRA S.A.
75,BCO ABN AMRO S.A.
76,BCO KDB BRASIL S.A.
77,BANCO INTER
78,HAITONG BI DO BRASIL S.A.
79,PICPAY BANK - BANCO MÚLTIPLO S.A
80,B&T CC LTDA.
81,BANCOSEGURO S.A.
82,BANCO TOPÁZIO S.A.
83,BCO DA CHINA BRASIL S.A.
84,SISPRIME DO BRASIL - COOP
85,COOPCENTRAL AILOS
88,BANCO RANDON S.A.
89,CREDISAN CC
91,CCCM UNICRED CENTRAL RS
92,BRK S.A. CFI
93,POLOCRED SCMEPP LTDA.
94,BANCO FINAXIS
95,TRAVELEX BANCO DE CÂMBIO S.A.
96,BCO B3 S.A.
97,CREDISIS CENTRAL DE COOPERATIVAS DE CRÉDITO LTDA.
98,CREDIALIANÇA CCR
99,UNIPRIME COOPCENTRAL LTDA.
100,PLANNER CV S.A.
101,RENASCENCA DTVM LTDA
102,XP INVESTIMENTOS CCTVM S/A
104,CAIXA ECONOMICA FEDERAL
105,LECCA CFI S.A.
107,BCO BOCOM BBM S.A.
108,PORTOCRED S.A. - CFI
111,OLIVEIRA TRUST DTVM S.A.
113,NEON CTVM S.A.
114,CENTRAL COOPERATIVA DE CRÉDITO NO ESTADO DO ESPÍRITO SANTO
117,ADVANCED CC LTDA
119,BCO WESTERN UNION
120,BCO RODOBENS S.A.
121,BCO AGIBANK S.A.
122,BCO BRADESCO BERJ S.A.
124,BCO WOORI BANK DO BRASIL S.A.
125,BANCO GENIAL
126,BR PARTNERS BI
127,CODEPE CVC S.A.
128,BRAZA BANK S.A. BCO DE CÂMBIO
129,UBS BRASIL BI S.A.
130,CARUANA SCFI
131,TULLETT PREBON BRASIL CVC LTDA
132,ICBC DO BRASIL BM S.A.
133,CRESOL CONFEDERAÇÃO
134,BGC LIQUIDEZ DTVM LTDA
136,CONF NAC COOP CENTRAIS UNICRED
138,GET MONEY CC LTDA
139,INTESA SANPAOLO BRASIL S.A. BM
140,NU INVEST CORRETORA DE VALORES S.A.
141,MASTER BI S.A.
142,BROKER BRASIL CC LTDA.
143,TREVISO CC S.A.
144,BEXS BCO DE CAMBIO S.A.
145,LEVYCAM CCV LTDA
146,GUITTA CC LTDA
149,FACTA S.A. CFI
157,ICAP DO BRASIL CTVM LTDA.
159,CASA CREDITO S.A. SCM
163,COMMERZBANK BRASIL S.A. - BCO MÚLTIPLO
173,BRL TRUST DTVM SA
174,PEFISA S.A. - C.F.I.
177,GUIDE
180,CM CAPITAL MARKETS CCTVM LTDA
183,SOCRED SA - SCMEPP
184,BCO ITAÚ BBA S.A.
188,ATIVA S.A. INVESTIMENTOS CCTVM
189,HS FINANCEIRA
190,SERVICOOP
191,NOVA FUTURA CTVM LTDA.
194,PARMETAL DTVM LTDA
195,VALOR SCD S.A.
196,FAIR CC S.A.
197,STONE IP S.A.
208,BANCO BTG PACTUAL S.A.
212,BANCO ORIGINAL
213,BCO ARBI S.A.
217,BANCO JOHN DEERE S.A.
218,BCO BS2 S.A.
222,BCO CRÉDIT AGRICOLE BR S.A.
224,BCO FIBRA S.A.
233,BANCO CIFRA
237,BCO BRADESCO S.A.
241,BCO CLASSICO S.A.
243,BANCO MASTER
246,BCO ABC BRASIL S.A.
249,BANCO INVESTCRED UNIBANCO S.A.
250,BCV - BCO CRÉDITO E VAREJO S.A.
253,BEXS CC S.A.
254,PARANA BCO S.A.
259,MONEYCORP BCO DE CÂMBIO S.A.
260,NU PAGAMENTOS - IP
265,BCO FATOR S.A.
266,BCO CEDULA S.A.
268,BARI CIA HIPOTECÁRIA
269,BCO HSBC S.A.
270,SAGITUR CC
271,IB CCTVM S.A.
272,AGK CC S.A.
273,CCR DE SÃO MIGUEL DO OESTE
274,BMP SCMEPP LTDA
276,BCO SENFF S.A.
278,GENIAL INVESTIMENTOS CVM S.A.
279,COOP DE PRIMAVERA DO LESTE
280,WILL FINANCEIRA S.A.CFI
281,CCR COOPAVEL
283,RB INVESTIMENTOS DTVM LTDA.
285,FRENTE CC S.A.
286,UNIPRIME OURO - COOP DE OURO
288,CAROL DTVM LTDA.
289,EFX CC LTDA.
290,PAGSEGURO INTERNET IP S.A.
292,BS2 DTVM S.A.
293,LASTRO RDV DTVM LTDA
296,OZ CORRETORA DE CÂMBIO S.A.
298,VIPS CC LTDA.
299,BCO AFINZ S.A. - BM
300,BCO LA NACION ARGENTINA
301,DOCK IP S.A.
306,PORTOPAR DTVM LTDA
307,TERRA INVESTIMENTOS DTVM
309,CAMBIONET CC LTDA
310,VORTX DTVM LTDA.
